Module,Fan-In,Fan-Out,Coupling Score
uvicorn.config,14,11,154
uvicorn,28,3,84
uvicorn.server,7,10,70
uvicorn.supervisors,5,6,30
uvicorn.protocols.http.h11_impl,3,9,27
uvicorn.protocols.http.httptools_impl,3,9,27
uvicorn.protocols.websockets.websockets_impl,3,7,21
uvicorn.protocols.websockets.wsproto_impl,3,7,21
uvicorn.supervisors.basereload,4,4,16
uvicorn._types,14,1,14
uvicorn.main,2,6,12
uvicorn.protocols.utils,5,2,10
uvicorn.supervisors.multiprocess,2,4,8
uvicorn.supervisors.statreload,2,4,8
uvicorn.supervisors.watchfilesreload,2,4,8
uvicorn.logging,7,1,7
uvicorn._subprocess,3,2,6
uvicorn.middleware.message_logger,2,3,6
uvicorn.protocols.http.flow_control,3,2,6
uvicorn.protocols.http.auto,1,5,5
uvicorn.protocols.websockets.auto,1,5,5
uvicorn.loops.auto,1,4,4
uvicorn.middleware.asgi2,2,2,4
uvicorn.middleware.proxy_headers,2,2,4
uvicorn.middleware.wsgi,2,2,4
uvicorn.workers,1,3,3
uvicorn.lifespan.on,1,2,2
uvicorn.__main__,1,1,1
uvicorn.lifespan.off,1,1,1
__main__,0,38,0
click,6,0,0
typing_extensions,1,0,0
uvicorn.importer,2,0,0
uvicorn.lifespan,1,0,0
uvicorn.loops,2,0,0
uvicorn.loops.asyncio,2,0,0
uvicorn.loops.uvloop,2,0,0
uvicorn.middleware,2,0,0
uvicorn.protocols,8,0,0
uvicorn.protocols.http,5,0,0
uvicorn.protocols.websockets,3,0,0
yaml,1,0,0
